name,scraped_at,n_places
septa 11th St subway station in Philadelphia,2025-10-27 22:29:25.587332,1.0
patco 12/13th & Locust St subway station in Philadelphia,2025-10-27 22:29:32.272257,1.0
septa 13th St subway station in Philadelphia,2025-10-27 22:29:38.828909,1.0
septa City Hall subway station in Philadelphia,2025-10-27 22:29:45.560003,1.0
septa Walnut-Locust subway station in Philadelphia,2025-10-27 22:29:52.094891,1.0
patco 9/10th & Locust St subway station in Philadelphia,2025-10-27 22:30:05.493972,3.0
